#Char	Unicode	Big5
戛	621B	V
戟	621F	V
戥	6225	V
截	622A	V
戮	622E	V
戰	6230	V
戲	6232	V
戳	6233	V
戴	6234	V
戶	6236	V
戽	623D	V
戾	623E	V
房	623F	V
所	6240	V
扁	6241	V
扇	6247	V
扈	6248	V
手	624B	V
才	624D	V
扎	624E	V
扑	6251	V
扒	6252	V
打	6253	V
托	6258	V
扛	625B	V
扞	625E	V
扣	6263	V
扦	6266	V
扭	626D	V
扮	626E	V
扯	626F	V
扱	6271	V
扲	6272	V
扳	6273	V
扴	6274	V
扶	6276	V
扷	6277	V
批	6279	V
扼	627C	V
找	627E	V
承	627F	V
技	6280	V
抄	6284	V
抉	6289	V
把	628A	V
抌	628C	V
抐	6290	
抑	6291	V
抓	6293	V
抔	6294	V
投	6295	V
抗	6297	V
折	6298	V
抨	62A8	V
披	62AB	V
抱	62B1	V
抵	62B5	V
抹	62B9	V
押	62BC	V
抽	62BD	V
抾	62BE	V
抿	62BF	V
拂	62C2	V
拄	62C4	V
拆	62C6	V
拇	62C7	V
拈	62C8	V
拉	62C9	V
拊	62CA	V
拋	62CB	V
拌	62CC	V
拍	62CD	V
拎	62CE	V
拐	62D0	V
拑	62D1	V
拒	62D2	V
拓	62D3	V
拔	62D4	V
拖	62D6	V
拗	62D7	V
拘	62D8	V
拙	62D9	V
拚	62DA	V
招	62DB	V
拜	62DC	V
括	62EC	V
拭	62ED	V
拯	62EF	V
拱	62F1	V
拳	62F3	V
拹	62F9	V
拼	62FC	V
拾	62FE	V
拿	62FF	V
持	6301	V
挂	6302	V
挃	6303	V
指	6307	V
挈	6308	V
按	6309	V
挌	630C	V
挐	6310	V
挑	6311	V
挓	6313	V
挔	6314	V
挕	6315	V
挖	6316	V
挨	6328	V
挩	6329	V
挫	632B	V
振	632F	V
挲	6332	V
挵	6335	
挹	6339	V
挺	633A	V
挼	633C	V
挽	633D	V
挾	633E	V
捀	6340	V
捅	6345	V
捆	6346	V
捉	6349	V
捋	634B	V
捌	634C	V
捎	634E	V
捏	634F	V
捐	6350	V
捒	6352	
捔	6354	V
捕	6355	V
捗	6357	V
捘	6358	V
捙	6359	V
捥	6365	V
捧	6367	V
捨	6368	V
捲	6372	V
捶	6376	V
捷	6377	V
捻	637B	V
捽	637D	V
捾	637E	
掀	6380	V
掂	6382	V
掃	6383	V
掇	6387	V
授	6388	V
掉	6389	V
掌	638C	V
排	6392	V
掔	6394	V
掖	6396	V
掘	6398	V
掙	6399	V
掛	639B	V
掜	639C	V
掠	63A0	V
採	63A1	V
探	63A2	V
掣	63A3	V
接	63A5	V
控	63A7	V
推	63A8	V
掩	63A9	V
措	63AA	V
掮	63AE	V
掰	63B0	V
揀	63C0	V
揈	63C8	V
揉	63C9	V
揌	63CC	V
揍	63CD	V
描	63CF	V
提	63D0	V
插	63D2	V
揚	63DA	V
換	63DB	V
揜	63DC	V
握	63E1	V
揣	63E3	V
揤	63E4	V
揫	63EB	V
揬	63EC	
揭	63ED	V
揮	63EE	V
揲	63F2	V
援	63F4	V
揹	63F9	V
揻	63FB	
損	640D	V
搏	640F	V
搐	6410	V
搖	6416	V
搙	6419	
搜	641C	V
搝	641D	
搟	641F	V
搢	6422	V
搣	6423	V
搤	6424	V
搦	6426	V
搧	6427	V
搩	6429	
搪	642A	V
搬	642C	V
搭	642D	V
搵	6435	V
搶	6436	V
摁	6441	V
摃	6443	V
摒	6452	V
摔	6454	V
摖	6456	
摘	6458	V
摠	6460	V
摧	6467	V
摩	6469	V
摯	646F	V
摳	6473	V
摵	6475	V
摸	6478	V
摹	6479	V
摺	647A	V
摻	647B	V
撆	6486	
撇	6487	V
撈	6488	V
撋	648B	V
撏	648F	V
撐	6490	V
撒	6492	V
撓	6493	V
撙	6499	V
撚	649A	V
撞	649E	V
撟	649F	V
撠	64A0	V
撤	64A4	V
撥	64A5	V
撨	64A8	
撩	64A9	V
撫	64AB	V
撬	64AC	V
播	64AD	V
撮	64AE	V
撰	64B0	V
撼	64BC	V
擁	64C1	V
擂	64C2	V
擅	64C5	V
擇	64C7	V
擉	64C9	V
擊	64CA	V
擋	64CB	V
操	64CD	V
擎	64CE	V
擒	64D2	V
擔	64D4	V
擗	64D7	V
擘	64D8	V
據	64DA	V
擛	64DB	V
擠	64E0	V
擢	64E2	V
擤	64E4	V
擦	64E6	V
擬	64EC	V
擲	64F2	V
擴	64F4	V
擸	64F8	V
擺	64FA	V
擽	64FD	V
擾	64FE	V
攀	6500	V
攄	6504	V
攏	650F	V
攑	6511	
攔	6514	V
攕	6515	V
攜	651C	V
攝	651D	V
攢	6522	V
攤	6524	V
攪	652A	V
攬	652C	V
支	652F	V
收	6536	V
改	6539	V
攻	653B	V
放	653E	V
政	653F	V
故	6545	V
敆	6546	V
效	6548	V
敏	654F	V
救	6551	V
敗	6557	V
敘	6558	V
教	6559	V
敝	655D	V
敢	6562	V
散	6563	V
敦	6566	V
敧	6567	V
敨	6568	V
